date,week,month,quarter,year,email_spend,sms_spend,social_spend,search_spend,total_spend,revenue,conversions,base_revenue
2023-01-02,1,January 2023,1,2023,8745.07,3870.97,13287.62,17476.25,43379.91,82520.5,34,37502.52
2023-01-09,2,January 2023,1,2023,7792.6,4323.24,21631.83,17440.53,51188.2,92007.84,46,40083.1
2023-01-16,3,January 2023,1,2023,8971.53,5508.95,13427.23,18916.44,46824.14,103046.72,47,42605.98
2023-01-23,4,January 2023,1,2023,10284.54,4139.66,14838.91,15063.01,44326.13,103623.37,53,44948.0
2023-01-30,5,January 2023,1,2023,7648.77,4206.04,14385.0,17045.86,43285.67,114455.95,53,47005.4
2023-02-06,6,February 2023,1,2023,7648.79,3940.44,13628.48,14069.2,39286.92,114523.59,49,48699.43
2023-02-13,7,February 2023,1,2023,10368.82,2464.98,11211.83,15972.5,40018.13,112282.87,49,49980.25
2023-02-20,8,February 2023,1,2023,9151.15,3978.79,13897.42,14609.57,41636.93,117874.13,59,50829.19
2023-02-27,9,February 2023,1,2023,7295.79,4048.18,10067.94,15290.99,36702.9,116209.81,60,51258.99
2023-03-06,10,March 2023,1,2023,8813.84,5970.59,11407.95,16785.47,42977.86,120926.95,56,51312.15
2023-03-13,11,March 2023,1,2023,7304.87,3846.11,10786.59,12545.34,34482.91,107978.43,57,51057.5
2023-03-20,12,March 2023,1,2023,7301.41,4241.24,12204.69,21277.16,45024.49,118323.63,51,50585.11
2023-03-27,13,March 2023,1,2023,8362.94,3972.23,17786.65,11981.95,42103.77,114324.51,57,50000.0
2023-04-03,14,April 2023,2,2023,5130.08,3065.06,7331.84,11357.43,26884.41,97588.16,44,49414.89
2023-04-10,15,April 2023,2,2023,5412.62,4914.26,13715.65,18474.33,42516.86,105737.61,50,48942.5
2023-04-17,16,April 2023,2,2023,7156.57,4601.55,7968.21,17374.99,37101.31,101996.47,51,48687.85
2023-04-24,17,April 2023,2,2023,6480.75,4632.83,10820.17,16872.36,38806.11,107202.28,50,48741.01
2023-05-01,18,May 2023,2,2023,8471.37,3272.49,14722.38,16885.04,43351.27,113584.4,55,49170.81
2023-05-08,19,May 2023,2,2023,6637.96,5122.24,12160.7,14963.26,38884.16,116032.83,63,50019.75
2023-05-15,20,May 2023,2,2023,5881.54,2878.52,9305.64,12308.24,30373.94,108579.58,52,51300.57
2023-05-22,21,May 2023,2,2023,10198.47,4469.49,10211.74,15227.41,40107.11,122824.83,66,52994.6
2023-05-29,22,May 2023,2,2023,7661.34,5752.36,13698.99,12968.51,40081.21,117528.32,55,55052.0
2023-06-05,23,June 2023,2,2023,8101.29,3207.57,10174.08,17925.36,39408.31,124424.73,67,57394.02
2023-06-12,24,June 2023,2,2023,5862.88,3546.96,12541.15,14558.83,36509.81,131082.05,76,59916.9
2023-06-19,25,June 2023,2,2023,7183.43,4079.72,12113.93,12523.51,35900.59,136364.89,58,62497.48
2023-06-26,26,June 2023,2,2023,8166.38,3597.22,10371.0,14035.84,36170.44,142218.61,71,65000.0
2023-07-03,27,July 2023,3,2023,6273.51,2759.47,17359.86,16238.79,42631.63,144451.17,81,67283.79
2023-07-10,28,July 2023,3,2023,8563.55,4054.85,13584.8,13308.83,39512.02,153907.83,82,69211.36
2023-07-17,29,July 2023,3,2023,7099.04,3150.16,6937.14,12533.34,29719.68,146803.62,82,70656.47
2023-07-24,30,July 2023,3,2023,7562.46,4378.87,12466.14,15731.06,40138.53,161049.83,84,71511.68
2023-07-31,31,July 2023,3,2023,7097.44,3264.46,10345.53,15734.9,36442.33,159159.11,87,71694.92
2023-08-07,32,August 2023,3,2023,10778.42,5239.95,14131.08,13479.17,43628.62,157134.23,84,71154.75
2023-08-14,33,August 2023,3,2023,7979.75,3373.4,10018.7,13586.89,34958.73,151915.22,89,69873.93
2023-08-21,34,August 2023,3,2023,6413.43,3742.35,11713.16,15696.15,37565.09,146876.67,80,67871.13
2023-08-28,35,August 2023,3,2023,9233.82,4650.81,13262.47,10655.75,37802.85,140804.9,77,65200.69
2023-09-04,36,September 2023,3,2023,6168.73,3015.31,14164.39,10777.61,34126.04,134137.61,68,61950.3
2023-09-11,37,September 2023,3,2023,8313.3,4181.97,8999.26,12844.67,34339.19,123155.66,61,58236.97
2023-09-18,38,September 2023,3,2023,5060.49,5045.71,11163.75,14359.66,35629.61,118760.81,58,54201.21
2023-09-25,39,September 2023,3,2023,6007.72,2714.01,10812.64,15932.72,35467.09,106995.59,55,50000.0
2023-10-02,40,October 2023,4,2023,8295.29,4147.71,10366.68,19426.07,42235.74,101369.7,48,45798.79
2023-10-09,41,October 2023,4,2023,9107.7,4207.91,16413.64,17572.98,47302.22,96221.83,48,41763.03
2023-10-16,42,October 2023,4,2023,8257.05,4625.46,13012.45,14520.18,40415.15,82866.43,46,38049.7
2023-10-23,43,October 2023,4,2023,7826.53,3010.44,8847.79,14942.95,34627.71,75118.88,38,34799.31
2023-10-30,44,October 2023,4,2023,7548.34,2943.63,14294.65,11992.41,36779.05,65889.56,30,32128.87
2023-11-06,45,November 2023,4,2023,5782.22,4417.55,17305.39,14944.46,42449.62,73082.07,37,30126.07
2023-11-13,46,November 2023,4,2023,6920.23,4237.59,14581.16,14134.02,39873.01,64398.73,28,28845.25
2023-11-20,47,November 2023,4,2023,7309.04,4200.39,8201.58,15968.16,35679.17,60858.27,23,28305.08
2023-11-27,48,November 2023,4,2023,9585.68,4277.16,10789.41,12518.31,37170.56,63011.65,26,28488.32
2023-12-04,49,December 2023,4,2023,8515.43,3455.98,15167.28,16558.04,43696.73,66434.65,26,29343.53
2023-12-11,50,December 2023,4,2023,5355.44,4185.8,10230.83,19598.22,39370.29,68860.84,31,30788.64
2023-12-18,51,December 2023,4,2023,8486.13,4234.46,13109.55,14673.72,40503.85,75135.17,35,32716.21
2023-12-25,52,December 2023,4,2023,7422.38,3428.52,13936.59,16205.14,40992.62,81196.83,44,35000.0
2024-01-01,53,January 2024,1,2024,6984.62,5492.62,9682.67,17070.43,39230.34,82838.87,40,37502.52
