date,channel,spend,revenue_contribution,roas,optimized_spend
2023-01-02,Email,8745.07,6839.16,1.043,10144.28
2023-01-02,SMS,3870.97,3361.67,1.158,4258.07
2023-01-02,Social Media,13287.62,8899.44,0.893,10630.1
2023-01-02,Paid Search,17476.25,12203.34,0.931,18350.06
2023-01-09,Email,7792.6,6584.31,1.054,9039.42
2023-01-09,SMS,4323.24,4066.11,1.173,4755.56
2023-01-09,Social Media,21631.83,16630.03,0.959,17305.46
2023-01-09,Paid Search,17440.53,13106.86,0.937,18312.56
2023-01-16,Email,8971.53,8124.2,1.063,10406.98
2023-01-16,SMS,5508.95,5563.48,1.185,6059.84
2023-01-16,Social Media,13427.23,10950.02,0.957,10741.78
2023-01-16,Paid Search,18916.44,15196.9,0.943,19862.26
2023-01-23,Email,10284.54,9892.52,1.07,11930.07
2023-01-23,SMS,4139.66,4378.54,1.177,4553.63
2023-01-23,Social Media,14838.91,12804.54,0.96,11871.13
2023-01-23,Paid Search,15063.01,12587.9,0.93,15816.16
2023-01-30,Email,7648.77,7632.42,1.061,8872.57
2023-01-30,SMS,4206.04,4646.8,1.175,4626.64
2023-01-30,Social Media,14385.0,12983.65,0.96,11508.0
2023-01-30,Paid Search,17045.86,14998.18,0.936,17898.15
2023-02-06,Email,7648.79,7884.26,1.058,8872.6
2023-02-06,SMS,3940.44,4498.85,1.172,4334.49
2023-02-06,Social Media,13628.48,12718.74,0.958,10902.78
2023-02-06,Paid Search,14069.2,12665.31,0.924,14772.66
2023-02-13,Email,10368.82,11083.32,1.069,12027.83
2023-02-13,SMS,2464.98,2836.3,1.151,2711.48
2023-02-13,Social Media,11211.83,10645.7,0.95,8969.46
2023-02-13,Paid Search,15972.5,14870.08,0.931,16771.12
2023-02-20,Email,9151.15,9932.0,1.068,10615.34
2023-02-20,SMS,3978.79,4726.6,1.169,4376.67
2023-02-20,Social Media,13897.42,13477.21,0.954,11117.94
2023-02-20,Paid Search,14609.57,13755.82,0.926,15340.05
2023-02-27,Email,7295.79,7918.79,1.059,8463.11
2023-02-27,SMS,4048.18,4864.04,1.172,4453.0
2023-02-27,Social Media,10067.94,9736.6,0.943,8054.35
2023-02-27,Paid Search,15290.99,14557.99,0.929,16055.54
2023-03-06,Email,8813.84,9616.44,1.063,10224.05
2023-03-06,SMS,5970.59,7279.13,1.188,6567.65
2023-03-06,Social Media,11407.95,11033.05,0.942,9126.36
2023-03-06,Paid Search,16785.47,16104.37,0.935,17624.74
2023-03-13,Email,7304.87,7885.17,1.057,8473.65
2023-03-13,SMS,3846.11,4613.34,1.175,4230.72
2023-03-13,Social Media,10786.59,10348.73,0.94,8629.27
2023-03-13,Paid Search,12545.34,11739.59,0.916,13172.6
2023-03-20,Email,7301.41,7793.15,1.055,8469.63
2023-03-20,SMS,4241.24,5042.28,1.175,4665.36
2023-03-20,Social Media,12204.69,11650.04,0.944,9763.75
2023-03-20,Paid Search,21277.16,20406.92,0.948,22341.02
2023-03-27,Email,8362.94,8865.25,1.06,9701.01
2023-03-27,SMS,3972.23,4657.53,1.173,4369.45
2023-03-27,Social Media,17786.65,17111.51,0.962,14229.32
2023-03-27,Paid Search,11981.95,10971.0,0.916,12581.05
2023-04-03,Email,5130.08,5280.31,1.041,5950.89
2023-04-03,SMS,3065.06,3516.28,1.161,3371.56
2023-04-03,Social Media,7331.84,6800.63,0.939,5865.47
2023-04-03,Paid Search,11357.43,10180.1,0.907,11925.31
2023-04-10,Email,5412.62,5491.13,1.036,6278.64
2023-04-10,SMS,4914.26,5671.78,1.179,5405.68
2023-04-10,Social Media,13715.65,12732.62,0.948,10972.52
2023-04-10,Paid Search,18474.33,16987.19,0.939,19398.05
