date,week,test_revenue,control_revenue,is_treatment,period,incremental_lift
2023-01-02,1,45300.44,38843.02,Pre-Treatment,Pre-Treatment Period,6457.4200000000055
2023-01-09,2,46359.67,43975.08,Pre-Treatment,Pre-Treatment Period,2384.5899999999965
2023-01-16,3,53667.88,51103.71,Pre-Treatment,Pre-Treatment Period,2564.1699999999983
2023-01-23,4,51345.46,52033.54,Pre-Treatment,Pre-Treatment Period,-688.0800000000017
2023-01-30,5,59280.08,54298.53,Pre-Treatment,Pre-Treatment Period,4981.550000000003
2023-02-06,6,58034.11,52489.04,Pre-Treatment,Pre-Treatment Period,5545.07
2023-02-13,7,59621.85,54005.76,Pre-Treatment,Pre-Treatment Period,5616.0899999999965
2023-02-20,8,59359.6,54636.96,Pre-Treatment,Pre-Treatment Period,4722.639999999999
2023-02-27,9,59925.42,58284.24,Pre-Treatment,Pre-Treatment Period,1641.1800000000003
2023-03-06,10,62492.62,55790.22,Pre-Treatment,Pre-Treatment Period,6702.4000000000015
2023-03-13,11,55780.17,51420.56,Pre-Treatment,Pre-Treatment Period,4359.610000000001
2023-03-20,12,57482.96,56713.9,Pre-Treatment,Pre-Treatment Period,769.0599999999977
2023-03-27,13,59102.34,55920.08,Pre-Treatment,Pre-Treatment Period,3182.2599999999948
2023-04-03,14,53519.28,48532.16,Pre-Treatment,Pre-Treatment Period,4987.119999999995
2023-04-10,15,54580.23,49094.27,Pre-Treatment,Pre-Treatment Period,5485.960000000006
2023-04-17,16,56898.2,49047.13,Pre-Treatment,Pre-Treatment Period,7851.07
2023-04-24,17,55766.08,51420.91,Pre-Treatment,Pre-Treatment Period,4345.169999999998
2023-05-01,18,59361.02,54303.97,Pre-Treatment,Pre-Treatment Period,5057.049999999996
2023-05-08,19,59476.58,54875.47,Pre-Treatment,Pre-Treatment Period,4601.110000000001
2023-05-15,20,56412.25,51303.06,Pre-Treatment,Pre-Treatment Period,5109.190000000002
2023-05-22,21,62799.64,59115.56,Pre-Treatment,Pre-Treatment Period,3684.0800000000017
2023-05-29,22,60732.26,58669.59,Pre-Treatment,Pre-Treatment Period,2062.6700000000055
